input,output
지금 땅 조금 흔들리는거 같은데,1
땅 미친듯이 흔들림 진짜 뒤질 수도 있을거 같음,4
방금 땅 흔들리지 않았냐?,1
지진이다.,1
금오공대 지진 일어나서 창문 깨졌어.,3
지진 일어나서 운동장에 물 터졌어,2
지진 일어나서 집 벽에 균열 생김,3
지진때문에 수능 연기됐다,4
마트에 물건들 다 널브러져 있다.,2
지금 도로에 균열 생겼음,4
인명피해 발생했다는데,5
땅이 흔들려,2
방금 건물 외벽 무너졌다.,3
밖에 물건들 날아다님,3
바람이 너무 세서 앞을 못보겠음,2
밖에서 타는 냄새 나는데,2
산불 지금 우리 집에서도 보인다.,3
산불 엄청 커졌어 지금,4
이 정도면 사람 죽겠는데,4
사람 한 명 죽었다,5
사람들 다 대피하고 있음,3
지금 밖에 비 엄청 많이 와,1
밖에 못 걸어 다닐 정도야,2
인명피해가 너무 많은 거 같은데,5
지진때문에 대피하다가 다쳤다.,3
지금 좀 심하게 타는데 대피 해야하냐,4
창문이 깨졌음,3
밖에 사람들 비명소리 들린다.,4
인명피해없기를 기원합니다.,2
태풍오는거 아니냐?,1
지진운 봤다 곧 지진아가 같다.,1
타는 냄새 너무 심해 머리 아프다.,3
건물에 균열이 심하게 생겼다.,4
간판들 다 파손됐다.,2
벽들 다 붕괴 됐어,4
방금 흔들림 느껴짐,1
방금 지진난거 아니냐,1
건물 외벽들이 다 붕괴 됐어,2
방금 대피하다가 다쳤음 피가 많이나,3
사람 죽을 거 같다.,4
건물에 벽에 금이 갔어요,3
이 정도면 건물하나정돈 무너질 거 같다.,3
지금 교통 통제하고 있음,4
태풍때문에 밖에 비바람 몰아친다,3
창문이 겁나 흔들려 바람 세게 부는듯,2
방금 우리집 창문 깨졌다.,3
건물 벽 방금 무너졌다.,4
밖에서 큰소리가 나는게 같은데?,2
밖에 비바람 몰아쳐서 무섭다.,2
도로 바닥에 균열이 더 늘었다.,4
파도가 엄청 커요,3
땅 흔들리더니 정전됐다.,3
파도가 너무 많이 친다.,3
밖에 눈이 너무 많이 와서 나갈 수가 없다.,3
태풍때문에 산사태로 사람이 죽었다.,5
지진으로 벽에 균열이 생겼다.,4
밖에 사람들이 갑자기 뛰어다닌다.,2
방금 무슨 큰소리 나지 않았어?,1
밖에 눈이 많이 오는데?,1
방금 나만 큰소리 들었어??,1
밖에 비 너무 많이 온다.,1
지진때문에 산사태 일어남,4
도로 균열 생겨서 사고 날수도 있을 듯,3
방금 지진 느낀 사람 엄청 쌨는데,2
태풍때문에 바람이 엄청 세게 부네 사람 날아갈 듯,4
파도 너무 센 거 같은데 해일 같아..,1
뉴스에 지금 지진 일어났다고 나온다.,2
파도가 너무 커,3
파도 때문에 지금 사람들 다 대피한다.,3
지금 홍수 나서 도로 다 물에 잠겼음.,3
지금 우리집도 물에 잠겨있어,3
홍수 나서 까딱하면 사람들 쓸려 내려갈 듯,4
홍수때문에 도로에서 물고기 잡힌다.,3
비가 너무 많이 오네 홍수 일어날듯,2
홍수때문에 도로에 쓰레기들 다 나온다.,3
지진 일어났다는데 가족들 건강한지 걱정된다,2
저기 우리가족 사는데 괜찮겠지? 걱정된다.,2
집에 갔는데 집 물에 잠겨있을 거 같다.,2
홍수때문에 앞으로 나아가질 못하겠다.,3
지금 지하주차장에 사람 있을텐데 물에 잠겨있다.,4
내차가 홍수때문에 움직이질 못한다.,3
홍수 가 나서 물이 너무 많다.,2
지진나서 도로가 많이 붕괴 되었는데 집에 갈 수 있을까,3
건물 붕괴 잔해때문에 앞으로 나아 갈수가 없네,4
지금 땅 미친듯이 흔들린다.,3
사람 한명 죽을것 같다.,4
방금 비명소리 들었다.,2
상황이 많이 위험한거 같다.,3
뉴스에 해일이 일어났다고 나왔다.,2
인명피해가 발생한거 같다.,4
사람이 너무 많이 죽었다.,5
홍수 가 나서 익사가 발생했다.,4
엄마 집에 혼자있는데 걱정된다.,3
방금 땅이 흔들린거 같은데,1
눈오기 시작한다 폭설일듯,1
지진운 발견함 방금 지진날거같음,1
눈이 너무 많이와서 땅이 얼었다.,1
날씨가 너무 추워서 동상에 걸렸다.,1
땅에 균열 생기기 시작한다.,2
동시다발적으로 재난알림이 울렸다,3
눈으로 인해 비닐하우스가 무너졌다,3
지진으로 운동장에 균열 이 생겼다.,2
방금 재난알림 울렸다.,2
길가는데 사람들 핸드폰에서 전부 재난알림 울렸어,3
학교에 있는데 지진 일어나서 전부 대피 했다.,2
밖에 건물들 무너진다 무섭다.,3
밖에 사람들 비명지르고 있다 너무 무섭다.,4
폭풍이 마구 불어친다.,2
비바람때문에 창문이 쎄게 흔들린다. 많이 무섭다.,1
사람들이 많이 죽어 나간다.,5
폭설 로 인해 도로가 정체 되었다.,3
폭우로 인해 도시가 물에 잠겼다.,3
폭설 로 인한 사망사고가 발생했다.,4
지진 으로 인한 사망사고가 발생했다.,5
태풍 으로 사망자가 발생했다.,5
방금 사람이 죽은거 같다.,4
학교에 있는데 반 친구들 전부 지진을 느꼈다.,3
태풍으로 인해 건물 손상이 심각하다.,3
